Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI,BB_Bant_Durum
2026-07-31 21:53,EMPAE,52.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Direnç: 61.37 (%18.0 üstte),-,-,-,49.82,,0.03,0
2026-07-31 21:53,ENDAE,15.16,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Direnç: 16.30 (%7.5 üstte),-,-,-,45.14,10.89,-0.05,0
2026-07-31 21:53,ENERY,9.21,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚪ Karışık / Testere Piyasası,🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 8.69 (%5.6 altta) | EMA21 Direnç: 9.28 (%0.8 üstte),-,9.29-10.94 (%0.9 üstte),-,49.58,62.41,0.72,0
2026-07-31 21:53,ENJSA,108.9,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 106.77 (%2.0 altta),49.53-62.47 (%42.6 altta),-,79.78,54.38,15.49,-0.81,0
2026-07-31 21:53,ENKAI,87.6,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 84.20 (%3.9 altta) | EMA5 Direnç: 89.89 (%2.6 üstte),-,-,63.45,44.62,0.59,-0.9,0
2026-07-31 21:53,ENPRA,58.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,-,EMA5 Direnç: 62.76 (%8.2 üstte),-,-,-,17.61,,-0.91,-
2026-07-31 21:53,ENSRI,5.37,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 6.22 (%15.8 üstte),3.23-3.74 (%30.3 altta),-,-36.65,32.8,6.21,-0.82,0
2026-07-31 21:53,ENTRA,5.25,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),📈 TREND DEVAMI (0 Üstü + Hacim),-,-,🟡 Normal Genişlik,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 4.83 (%8.0 altta),-,-,-,60.1,47.01,0.2,1.26
2026-07-31 21:53,EPLAS,5.43,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Direnç: 5.47 (%0.7 üstte),2.25-2.74 (%49.6 altta),-,-0.68,42.02,2.65,-0.85,0
2026-07-31 21:53,ERBOS,153.7,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🚨Fiyat Bandın Altında!,EMA5 Direnç: 164.56 (%7.1 üstte),-,-,-10.22,35.09,0.0,-0.92,-0.47
2026-07-31 21:53,ERCB,48.14,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 50.88 (%5.7 üstte),33.24-36.42 (%24.3 altta),69.55-103.00 (%44.5 üstte),-43.39,39.9,34.09,-0.74,0
2026-07-31 21:53,EREGL,42.54,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 41.97 (%1.3 altta),18.45-20.50 (%51.8 altta),-,76.71,70.13,40.18,0.8,0
2026-07-31 21:53,ERSU,23.2,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 21.69 (%6.5 altta) | EMA5 Direnç: 23.63 (%1.9 üstte),14.15-15.04 (%35.2 altta),-,45.14,49.42,8.83,-0.81,0
2026-07-31 21:53,ESCAR,45.98,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 45.08 (%2.0 altta) | EMA5 Direnç: 47.64 (%3.6 üstte),-,73.92-77.79 (%60.8 üstte),65.57,53.73,6.26,-0.64,0
2026-07-31 21:53,ESCOM,5.33,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 5.24 (%1.7 altta) | EMA5 Direnç: 5.50 (%3.2 üstte),-,-,60.24,53.63,2.95,0.18,0
2026-07-31 21:53,ESEN,3.36,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟠 Daralıyor,🚨Fiyat Bandın Altında!,EMA5 Direnç: 3.52 (%4.8 üstte),-,14.06-15.00 (%318.5 üstte),-24.53,35.94,3.36,-0.79,-0.8
2026-07-31 21:53,ETILR,5.82,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 5.51 (%5.4 altta) | EMA100 Direnç: 5.86 (%0.7 üstte),-,8.91-10.52 (%53.1 üstte),11.99,54.4,37.54,0.37,0
2026-07-31 21:53,ETYAT,12.9,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 11.09 (%14.0 altta) | EMA5 Direnç: 13.14 (%1.8 üstte),3.01-3.23 (%74.9 altta),-,142.22,67.77,68.23,0.88,0
2026-07-31 21:53,EUHOL,10.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 7.48 (%25.2 altta) | EMA5 Direnç: 10.33 (%3.3 üstte),2.51-2.73 (%72.7 altta),-,33.75,37.56,2.97,-0.92,0
