Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI,BB_Bant_Durum
2026-07-24 21:56,OBAMS,5.21,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5.63 (%8.1 üstte),-,-,-,29.53,6.79,-0.94,
2026-07-24 21:56,OYAKC,21.3,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 21.16 (%0.6 altta) | EMA21 Direnç: 22.05 (%3.5 üstte),-,-,30.64,44.56,17.74,-0.78,
2026-07-24 21:56,TCELL,103.7,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 95.86 (%7.6 altta) | EMA55 Direnç: 103.97 (%0.3 üstte),-,-,41.2,45.81,21.46,-0.47,
2026-07-24 21:56,ULKER,92.05,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🚨Fiyat Bandın Altında!,EMA200 Destek: 81.31 (%11.7 altta) | EMA5 Direnç: 98.02 (%6.5 üstte),12.08-13.37 (%85.5 altta),-,13.2,33.92,1.75,-0.95,
2026-07-31 21:53,AHSGY,18.7,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 16.46 (%12.0 altta) | EMA21 Direnç: 19.36 (%3.5 üstte),5.35-5.78 (%69.1 altta),-,-,49.19,24.43,-0.21,0.0
2026-07-31 21:53,ASELS,342.25,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 294.46 (%14.0 altta) | EMA21 Direnç: 360.68 (%5.4 üstte),-,-,125.4,48.76,5.86,-0.77,0.0
2026-07-31 21:53,BIMAS,390.25,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 381.90 (%2.1 altta),-,-,83.27,60.27,40.55,-0.16,0.0
2026-07-31 21:53,ENJSA,108.9,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 106.77 (%2.0 altta),49.53-62.47 (%42.6 altta),-,79.78,54.38,15.49,-0.81,0.0
2026-07-31 21:53,ENKAI,87.6,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 84.20 (%3.9 altta) | EMA5 Direnç: 89.89 (%2.6 üstte),-,-,63.45,44.62,0.59,-0.9,0.0
2026-07-31 21:53,GLRMK,149.5,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 160.46 (%7.3 üstte),-,-,-,39.77,2.89,-0.86,0.0
2026-07-31 21:53,IZENR,8.6,🔴 Düşüş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Direnç: 8.62 (%0.2 üstte),4.20-4.54 (%47.2 altta),-,-,43.77,27.47,-0.7,0.0
2026-07-31 21:53,MGROS,625.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 589.47 (%5.8 altta) | EMA5 Direnç: 633.90 (%1.3 üstte),150.78-162.32 (%74.1 altta),-,55.32,49.34,5.55,-0.6,0.0
2026-07-31 21:53,MIATK,30.82,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Direnç: 31.68 (%2.8 üstte),-,56.45-65.75 (%83.2 üstte),-2.73,37.22,8.71,-0.8,0.0
2026-07-31 21:53,MPARK,405.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 366.93 (%9.4 altta) | EMA55 Direnç: 405.64 (%0.2 üstte),6.00-71.00 (%82.5 altta),-,51.66,43.89,1.29,-0.87,0.0
2026-07-31 21:53,OBAMS,4.93,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5.40 (%9.5 üstte),-,-,-,27.91,8.06,-0.97,0.0
2026-07-31 21:53,OYAKC,20.3,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 16.35 (%19.5 altta) | EMA5 Direnç: 20.67 (%1.8 üstte),-,-,24.19,40.12,25.6,-0.73,0.0
2026-07-31 21:53,TCELL,99.95,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 95.94 (%4.0 altta) | EMA55 Direnç: 103.82 (%3.9 üstte),-,-,35.65,42.7,13.57,-0.52,0.0
2026-07-31 21:53,ULKER,86.3,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🚨Fiyat Bandın Altında!,EMA200 Destek: 81.38 (%5.7 altta) | EMA5 Direnç: 94.11 (%9.1 üstte),12.08-13.37 (%84.5 altta),-,6.04,30.4,1.75,-0.97,-3.21
2026-08-07 21:10,AHSGY,19.36,🟢 Yükseliş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 19.36 (%0.0 altta) | EMA5 Direnç: 19.51 (%0.8 üstte),5.35-5.78 (%70.2 altta),-,-,51.26,18.69,-0.46,0.0
2026-08-07 21:10,ASELS,353.75,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 296.57 (%16.2 altta) | EMA21 Direnç: 360.05 (%1.8 üstte),-,-,130.19,50.73,8.09,-0.75,0.0
2026-08-07 21:10,BIMAS,385.75,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 383.18 (%0.7 altta),-,-,79.77,58.55,38.26,-0.25,0.0
2026-08-07 21:10,ENJSA,113.2,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 108.50 (%4.2 altta),49.53-62.47 (%44.8 altta),-,85.21,58.47,34.65,-0.56,0.0
2026-08-07 21:10,ENKAI,86.35,🩸 SAT (Trend Kırıldı),🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 84.27 (%2.4 altta) | EMA5 Direnç: 88.71 (%2.7 üstte),-,-,60.23,43.25,0.0,-0.9,0.0
2026-08-07 21:10,GLRMK,169.6,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 163.51 (%3.6 altta) | EMA55 Direnç: 170.97 (%0.8 üstte),-,-,-,48.11,21.31,-0.77,0.0
2026-08-07 21:10,IZENR,9.09,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 8.63 (%5.1 altta) | EMA5 Direnç: 9.22 (%1.4 üstte),4.20-4.54 (%50.1 altta),-,-,46.57,29.0,-0.73,0.0
2026-08-07 21:10,MGROS,654.5,🟢 Yükseliş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 640.77 (%2.1 altta),150.78-162.32 (%75.2 altta),-,61.52,54.87,15.19,-0.73,0.0
2026-08-07 21:10,MIATK,29.72,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Direnç: 31.66 (%6.5 üstte),-,56.45-65.75 (%89.9 üstte),-6.14,36.03,5.21,-0.93,0.0
2026-08-07 21:10,MPARK,426.75,🟢 Yükseliş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 418.34 (%2.0 altta) | EMA21 Direnç: 429.35 (%0.6 üstte),6.00-71.00 (%83.4 altta),-,58.94,49.99,12.2,-0.91,0.0
2026-08-07 21:10,OBAMS,4.85,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5.22 (%7.5 üstte),-,-,-,27.45,5.19,-0.98,0.0
2026-08-07 21:10,OYAKC,20.66,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 16.39 (%20.7 altta) | EMA5 Direnç: 20.67 (%0.0 üstte),-,-,26.06,42.34,40.3,-0.64,0.0
2026-08-07 21:10,TCELL,105.1,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 104.75 (%0.3 altta) | EMA21 Direnç: 107.52 (%2.3 üstte),-,-,42.08,47.93,13.14,-0.49,0.0
2026-08-07 21:10,ULKER,89.2,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 81.46 (%8.7 altta) | EMA5 Direnç: 92.48 (%3.7 üstte),-,-,9.5,34.12,4.3,-0.97,0.0
2026-08-14 21:15,AHSGY,18.94,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 16.64 (%12.1 altta) | EMA5 Direnç: 19.32 (%2.0 üstte),5.35-5.78 (%69.5 altta),-,-,49.87,13.63,-0.35,0.0
2026-08-14 21:15,ASELS,387.5,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 369.33 (%4.7 altta),-,-,148.67,56.06,12.1,-0.55,0.0
2026-08-14 21:15,BIMAS,374.75,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 368.97 (%1.5 altta) | EMA5 Direnç: 380.37 (%1.5 üstte),-,-,73.39,54.45,32.16,-0.19,0.0
2026-08-14 21:15,ENJSA,106.2,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 95.87 (%9.7 altta) | EMA21 Direnç: 107.25 (%1.0 üstte),49.53-62.47 (%41.2 altta),-,72.43,50.53,36.72,-0.41,0.0
2026-08-14 21:15,ENKAI,87.65,🔴 Düşüş Trendinde,🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 84.39 (%3.7 altta) | EMA5 Direnç: 88.36 (%0.8 üstte),-,-,61.71,45.14,3.78,-0.93,0.0
2026-08-14 21:15,GLRMK,179.0,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 174.11 (%2.7 altta),-,-,-,51.49,51.75,-0.5,0.0
2026-08-14 21:15,IZENR,8.47,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Direnç: 8.63 (%1.8 üstte),4.20-4.54 (%46.4 altta),-,-,43.61,20.51,-0.8,0.0
2026-08-14 21:15,MGROS,555.0,🩸 SAT (Trend Kırıldı),🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🚨Fiyat Bandın Altında!,EMA100 Destek: 538.03 (%3.1 altta) | EMA55 Direnç: 590.48 (%6.4 üstte),150.78-162.32 (%70.8 altta),-,36.44,39.11,15.19,-0.76,-4.58
2026-08-14 21:15,MIATK,32.94,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 32.69 (%0.7 altta) | EMA21 Direnç: 37.75 (%14.6 üstte),-,56.45-65.75 (%71.4 üstte),3.99,41.89,7.73,-0.92,0.0
2026-08-14 21:15,MPARK,438.25,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 430.16 (%1.8 altta),6.00-71.00 (%83.8 altta),-,62.27,52.9,29.38,-0.79,0.0
2026-08-14 21:15,OBAMS,5.04,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5.16 (%2.3 üstte),-,-,-,30.4,6.24,-0.96,0.0
2026-08-14 21:15,OYAKC,21.82,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 21.78 (%0.2 altta) | EMA55 Direnç: 22.25 (%2.0 üstte),-,-,32.69,48.94,56.04,-0.26,0.0
2026-08-14 21:15,TCELL,104.1,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 103.88 (%0.2 altta) | EMA5 Direnç: 104.54 (%0.4 üstte),-,-,40.18,47.03,22.49,-0.33,0.0
2026-08-14 21:15,ULKER,90.7,🔴 Düşüş Trendinde,🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 81.57 (%10.1 altta) | EMA5 Direnç: 91.88 (%1.3 üstte),-,-,11.19,36.02,12.74,-0.97,0.0
