Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-13 09:49,OSTIM,1.8,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 1.83 (%1.6 üstte),-,2.44-2.53 (%35.4 üstte),35.43,0.0,-0.85
2026-07-13 09:49,OTKAR,338.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 348.88 (%3.2 üstte),-,518.50-533.00 (%53.4 üstte),38.13,5.11,-0.33
2026-07-13 09:49,OTTO,196.0,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 191.19 (%2.5 altta) | EMA55 Direnç: 228.93 (%16.8 üstte),-,480.00-525.00 (%144.9 üstte),49.1,87.57,-0.02
2026-07-13 09:49,OYAKC,20.2,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 20.26 (%0.3 üstte),19.43-20.13 (%0.3 altta),-,40.49,14.69,-0.68
2026-07-13 09:49,OYAYO,46.3,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 47.55 (%2.7 üstte),-,54.60-57.45 (%17.9 üstte),37.09,0.0,-0.84
2026-07-13 09:49,OYLUM,8.48,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA100 Destek: 8.44 (%0.4 altta) | EMA200 Direnç: 8.93 (%5.3 üstte),7.40-7.67 (%9.6 altta),8.65-9.31 (%2.0 üstte),58.12,93.22,0.71
2026-07-13 09:49,OYYAT,40.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 40.51 (%0.7 altta) | EMA21 Direnç: 42.51 (%4.2 üstte),36.18-37.07 (%9.2 altta),-,39.05,19.76,-0.87
2026-07-13 09:49,OZATD,2016.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 1919.60 (%4.8 altta),152.80-156.80 (%92.2 altta),-,71.07,63.8,0.95
2026-07-13 09:49,OZGYO,2.12,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.11 (%0.3 altta) | EMA100 Direnç: 2.13 (%0.3 üstte),1.89-1.94 (%8.6 altta),-,47.52,14.11,-0.22
2026-07-13 09:49,OZKGY,13.95,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 13.89 (%0.4 altta) | EMA5 Direnç: 14.09 (%1.0 üstte),12.00-12.69 (%9.0 altta),15.84-16.26 (%13.5 üstte),45.45,3.19,-0.81
2026-07-13 09:49,OZRDN,33.06,🔥 AL (Taze Kırılım),🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 30.98 (%6.3 altta),-,34.00-37.90 (%2.8 üstte),59.62,100.0,0.22
2026-07-13 09:49,OZSUB,30.1,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 28.58 (%5.0 altta) | EMA5 Direnç: 30.30 (%0.7 üstte),16.58-16.93 (%43.7 altta),-,49.77,1.29,-0.93
2026-07-13 09:49,OZYSR,12.73,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 12.54 (%1.5 altta) | EMA5 Direnç: 12.89 (%1.3 üstte),-,-,55.01,53.74,0.8
2026-07-13 09:49,PAGYO,167.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 162.00 (%3.0 altta),74.87-78.61 (%52.9 altta),-,68.01,87.92,0.95
2026-07-13 09:49,PAHOL,1.44,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 1.45 (%0.4 üstte),-,-,33.87,14.0,-0.81
2026-07-13 09:49,PAMEL,83.0,🟢 Yükseliş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 84.17 (%1.4 üstte),78.00-79.95 (%3.7 altta),93.10-102.40 (%12.2 üstte),44.42,0.88,-0.83
2026-07-13 09:49,PAPIL,14.36,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 14.62 (%1.8 üstte),-,19.50-20.96 (%35.8 üstte),39.61,1.43,-0.64
2026-07-13 09:49,PARSN,81.65,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 82.20 (%0.7 üstte),-,102.80-105.00 (%25.9 üstte),39.31,7.8,-0.97
2026-07-13 09:49,PASEU,97.1,🔴 Düşüş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 93.85 (%3.4 altta) | EMA21 Direnç: 103.90 (%7.0 üstte),-,131.00-142.80 (%34.9 üstte),43.4,28.66,-0.85
