Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-17 21:34,OZSUB,30.04,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 26.66 (%11.2 altta) | EMA5 Direnç: 30.08 (%0.1 üstte),-,-,64.04,28.37,0.83
2026-07-17 21:34,OZYSR,14.15,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,-,-,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 13.07 (%7.6 altta),4.88-5.73 (%59.5 altta),-,66.3,79.02,0.61
2026-07-17 21:34,PAGYO,155.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 153.74 (%0.8 altta),-,-,69.09,61.52,0.86
2026-07-17 21:34,PAHOL,1.41,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 1.48 (%4.9 üstte),-,-,39.1,0.0,-0.71
2026-07-17 21:34,PAMEL,82.05,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 84.07 (%2.5 üstte),74.85-84.60 (fiyat bandın içinde!),175.50-199.90 (%113.9 üstte),45.82,26.44,-0.51
2026-07-17 21:34,PAPIL,13.51,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Direnç: 13.61 (%0.7 üstte),11.95-13.32 (%1.4 altta),-,36.64,8.63,-0.89
2026-07-17 21:34,PARSN,80.25,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 80.03 (%0.3 altta) | EMA5 Direnç: 83.47 (%4.0 üstte),78.15-83.20 (fiyat bandın içinde!),85.75-93.85 (%6.9 üstte),41.41,15.11,-0.07
2026-07-17 21:34,PASEU,93.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 81.35 (%13.3 altta) | EMA5 Direnç: 101.88 (%8.6 üstte),-,118.60-135.00 (%26.4 üstte),40.33,14.68,-0.6
2026-07-17 21:34,PATEK,21.08,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Direnç: 21.56 (%2.3 üstte),14.67-16.39 (%22.2 altta),-,47.3,30.12,0.02
2026-07-17 21:34,PCILT,33.4,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 33.19 (%0.6 altta),-,-,60.35,27.9,0.62
2026-07-17 21:34,PEKGY,14.8,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 14.32 (%3.3 altta),-,-,57.94,41.94,-0.24
2026-07-17 21:34,PENGD,10.41,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 10.20 (%2.1 altta) | EMA5 Direnç: 11.14 (%7.0 üstte),6.33-8.16 (%21.6 altta),-,45.34,0.37,-0.73
2026-07-17 21:34,PENTA,13.27,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 13.75 (%3.6 üstte),12.29-14.09 (fiyat bandın içinde!),53.78-78.72 (%305.3 üstte),41.43,1.8,-0.5
