Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI,BB_Bant_Durum,EMA_Durumu
2026-08-21 17:57,YEOTK,35.78,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 29.64 (%17.1 altta) | EMA5 Direnç: 36.89 (%3.1 üstte),16.63-17.21 (%51.9 altta),-,,39.22,0.0,-0.59,0.0,20.7
2026-08-21 17:57,YESIL,1.22,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 1.21 (%0.8 altta) | EMA21 Direnç: 1.23 (%0.9 üstte),-,2.11-2.31 (%73.0 üstte),,43.34,100.0,-0.5,0.0,0.78
2026-08-21 17:57,YGGYO,227.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 226.45 (%0.2 altta) | EMA21 Direnç: 227.26 (%0.1 üstte),112.89-119.36 (%47.4 altta),-,,49.94,25.65,-0.26,0.0,23.77
2026-08-21 17:57,YIGIT,21.02,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 21.00 (%0.1 altta) | EMA21 Direnç: 21.28 (%1.3 üstte),-,25.08-26.44 (%19.3 üstte),,43.44,57.86,-0.2,0.0,0.08
2026-08-21 17:57,YKBNK,35.02,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 34.72 (%0.9 altta) | EMA5 Direnç: 35.04 (%0.1 üstte),-,42.58-44.30 (%21.6 üstte),,51.53,59.4,0.53,0.0,0.86
2026-08-21 17:57,YKSLN,2.81,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 2.84 (%0.9 üstte),-,3.06-3.37 (%8.9 üstte),,41.14,79.71,0.51,0.0,-0.91
2026-08-21 17:57,YONGA,48.9,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 48.26 (%1.3 altta) | EMA21 Direnç: 49.11 (%0.4 üstte),-,55.50-57.00 (%13.5 üstte),,46.73,41.12,-0.69,0.0,1.33
2026-08-21 17:57,YUNSA,8.58,🔴 Düşüş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Direnç: 8.65 (%0.8 üstte),-,8.80-9.38 (%2.6 üstte),,40.85,29.29,-0.11,0.0,-0.79
2026-08-21 17:57,YYAPI,0.85,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 0.84 (%0.7 altta) | EMA21 Direnç: 0.86 (%0.9 üstte),-,2.04-2.23 (%140.0 üstte),,45.03,52.01,-0.63,0.0,0.7
2026-08-21 17:57,YYLGD,10.33,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 10.31 (%0.2 altta) | EMA21 Direnç: 10.34 (%0.1 üstte),9.56-9.96 (%3.6 altta),11.70-12.05 (%13.3 üstte),,48.41,65.09,0.18,0.0,0.16
