Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
CRFSA,151.6,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 146.32 (%3.5 altta),81.75-85.40 (%43.7 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 19.549160573635582,55.31,34.84,-0.58
CUSAN,24.0,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 23.69 (%1.3 altta) | EMA55 Direnç: 24.31 (%1.3 üstte),20.50-21.34 (%11.1 altta),23.22-25.22 (fiyat bandın içinde!),🟢Fiyat EMA 200 altında! Uzaklık: -5.17790722681899,51.3,76.03,-0.27
CVKMD,38.26,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 37.71 (%1.4 altta) | EMA5 Direnç: 38.40 (%0.4 üstte),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 22.371221001248177,41.87,33.75,-0.7
CWENE,40.0,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 39.28 (%1.8 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 28.84250549452252,53.72,48.44,0.36
DAGI,9.38,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 8.92 (%4.9 altta) | EMA5 Direnç: 9.39 (%0.1 üstte),5.36-5.64 (%39.9 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 27.088662321356427,59.04,4.28,0.5
DAPGM,9.45,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 9.22 (%2.4 altta) | EMA21 Direnç: 9.63 (%1.9 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -20.367557433117245,43.94,34.67,-0.83
DARDL,1.96,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 1.94 (%1.2 altta) | EMA21 Direnç: 2.00 (%1.8 üstte),-,2.46-2.54 (%25.5 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -13.146311793314759,42.2,82.43,-0.58
DCTTR,11.74,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 11.64 (%0.9 altta) | EMA5 Direnç: 12.08 (%2.9 üstte),8.33-8.51 (%27.5 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 5.961237349959481,39.74,3.99,-0.59
DENGE,2.43,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Direnç: 2.47 (%1.5 üstte),-,3.24-3.49 (%33.3 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -11.02188946725703,48.11,9.62,0.22
DERHL,11.68,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 11.70 (%0.2 üstte),-,15.63-16.40 (%33.8 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -25.57756021503271,32.75,29.06,-0.92
DERIM,37.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 37.45 (%1.2 üstte),-,43.46-46.30 (%17.5 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -3.2970681322240125,43.24,33.08,0.32
DESA,10.5,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 10.53 (%0.3 üstte),-,15.00-15.40 (%42.9 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -16.404585298985587,35.4,56.02,-0.56
DESPC,44.66,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA100 Destek: 44.12 (%1.2 altta) | EMA200 Direnç: 47.60 (%6.6 üstte),-,49.60-52.05 (%11.1 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -6.186081140905165,56.09,36.61,-0.4
DEVA,74.7,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 72.66 (%2.7 altta),64.35-65.30 (%12.6 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 11.557261256148642,63.6,58.46,0.17
DGATE,105.3,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 104.94 (%0.3 altta) | EMA55 Direnç: 106.83 (%1.5 üstte),63.00-66.45 (%36.9 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 17.045710533640968,42.51,31.53,-0.86
DGGYO,38.32,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 36.32 (%5.2 altta) | EMA21 Direnç: 38.71 (%1.0 üstte),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 13.196413166587838,50.13,29.67,-0.27
DGNMO,8.22,🔴 Düşüş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 8.13 (%1.1 altta) | EMA55 Direnç: 8.35 (%1.5 üstte),3.51-3.76 (%54.3 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 15.263741634427763,43.33,42.88,-0.87
DIRIT,21.62,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 21.64 (%0.1 üstte),-,27.60-28.40 (%27.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -18.517250693316413,39.17,50.64,-0.85
DITAS,26.52,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 26.50 (%0.1 altta) | EMA21 Direnç: 31.58 (%19.1 üstte),23.92-24.90 (%6.1 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -27.407721806783126,34.6,20.21,-0.82
DMRGD,13.81,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 13.27 (%3.9 altta),3.47-3.59 (%74.0 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 110.0532415499146,77.14,92.73,0.99
DMSAS,8.34,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 8.40 (%0.7 üstte),8.23-8.65 (fiyat bandın içinde!),-,🟢Fiyat EMA 200 altında! Uzaklık: -7.424892443852338,37.11,2.36,-0.86
DNISI,20.6,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 20.66 (%0.3 üstte),18.78-19.16 (%7.0 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -3.160244606319129,44.12,8.41,-0.78
DOAS,186.6,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 186.15 (%0.2 altta) | EMA55 Direnç: 187.13 (%0.3 üstte),166.96-169.27 (%9.3 altta),221.62-228.85 (%18.8 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 1.891668278107006,50.12,84.74,0.37
DOCO,11040.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 10710.25 (%3.0 altta) | EMA5 Direnç: 11098.99 (%0.5 üstte),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 7.602060121189291,48.44,5.04,-0.84
DOFER,31.24,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 30.80 (%1.4 altta) | EMA21 Direnç: 31.66 (%1.4 üstte),-,56.46-58.85 (%80.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -23.005640040302833,43.13,75.57,-0.69
DOFRB,164.1,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 159.61 (%2.7 altta) | EMA5 Direnç: 169.40 (%3.2 üstte),74.10-82.25 (%49.9 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 37.96204803845089,46.07,3.07,-0.6
