Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,BB_Bant_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
A1CAP,9.18,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 9.44 (%2.8 üstte),4.46-5.73 (%37.6 altta),-,-,34.73,14.18,-0.72
A1YEN,2.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 2.57 (%8.1 altta) | EMA100 Direnç: 2.83 (%1.2 üstte),2.18-2.70 (%3.4 altta),-,8.8,44.33,4.7,-0.89
AAGYO,12.87,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,-,-,EMA5 Direnç: 13.89 (%8.0 üstte),-,-,-,7.95,,-0.97
ACSEL,128.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 122.08 (%5.0 altta) | EMA5 Direnç: 129.72 (%0.9 üstte),-,-,28.85,50.13,3.73,-0.76
ADEL,32.42,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 30.93 (%4.6 altta) | EMA21 Direnç: 33.44 (%3.1 üstte),-,47.64-57.64 (%46.9 üstte),-53.89,47.42,12.54,-0.68
ADESE,0.85,🔴 Düşüş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 0.89 (%5.2 üstte),0.14-0.15 (%82.4 altta),-,-13.85,33.16,0.0,-0.95
ADGYO,55.0,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,-,🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 54.29 (%1.3 altta),27.44-28.60 (%48.0 altta),-,-,51.25,26.62,-0.8
AEFES,21.58,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 21.27 (%1.4 altta),13.44-13.99 (%35.2 altta),-,58.82,63.39,78.43,0.8
AFYON,12.56,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 12.37 (%1.5 altta) | EMA5 Direnç: 12.78 (%1.7 üstte),2.64-2.81 (%77.6 altta),-,22.88,43.85,22.66,-0.37
AGESA,236.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 211.97 (%10.2 altta) | EMA21 Direnç: 236.34 (%0.1 üstte),-,-,84.41,51.9,12.66,-0.01
AGHOL,35.26,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 34.60 (%1.9 altta),24.14-25.64 (%27.3 altta),-,51.98,59.67,63.26,0.04
AGROT,2.35,🔴 Düşüş Trendinde,⏳ BEKLE,-,🟢 POTANSİYEL DİP,-,🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 2.51 (%6.7 üstte),-,9.07-11.88 (%286.2 üstte),-,34.16,34.56,-0.91
AGYO,7.33,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 6.72 (%8.3 altta) | EMA5 Direnç: 7.57 (%3.3 üstte),5.90-6.64 (%9.4 altta),-,9.05,40.37,2.12,-0.95
AHGAZ,32.14,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 31.57 (%1.8 altta) | EMA5 Direnç: 33.85 (%5.3 üstte),-,-,-,53.85,15.91,0.6
AHSGY,19.36,🟢 Yükseliş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 19.36 (%0.0 altta) | EMA5 Direnç: 19.51 (%0.8 üstte),5.35-5.78 (%70.2 altta),-,-,51.26,18.69,-0.46
AKBNK,67.4,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 62.66 (%7.0 altta) | EMA5 Direnç: 67.45 (%0.1 üstte),-,-,43.61,47.06,17.88,-0.17
AKCNS,236.4,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚪ Karışık / Testere Piyasası,⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 233.74 (%1.1 altta),-,-,79.34,61.59,66.62,0.72
AKENR,10.14,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 8.65 (%14.7 altta) | EMA5 Direnç: 10.57 (%4.3 üstte),-,-,17.26,44.32,2.12,-0.7
AKFGY,2.69,🟢 Yükseliş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 2.58 (%4.0 altta) | EMA55 Direnç: 2.72 (%1.0 üstte),1.76-2.09 (%22.3 altta),-,13.47,44.55,8.07,-0.64
AKFIS,96.55,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 90.93 (%5.8 altta),-,-,-,91.1,97.23,0.96
AKFYE,23.88,🟢 Yükseliş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 23.04 (%3.5 altta) | EMA5 Direnç: 24.38 (%2.1 üstte),15.20-16.67 (%30.2 altta),-,-,54.09,36.57,0.37
AKGRT,6.43,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🚨Fiyat Bandın Altında!,-3.06,EMA200 Destek: 5.61 (%12.8 altta) | EMA100 Direnç: 6.78 (%5.5 üstte),1.27-1.46 (%77.2 altta),-,14.63,35.97,3.03,-0.8
AKHAN,42.2,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 41.50 (%1.7 altta),-,-,-,68.14,,0.94
AKMGY,258.0,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 248.76 (%3.6 altta),-,-,53.96,55.91,20.75,-0.53
AKSA,12.54,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 12.38 (%1.3 altta),-,-,55.79,61.8,79.64,0.87
AKSEN,91.4,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 85.02 (%7.0 altta) | EMA5 Direnç: 94.39 (%3.3 üstte),-,-,95.98,58.08,40.43,0.68
AKSGY,9.81,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 9.56 (%2.5 altta),0.51-0.56 (%94.3 altta),-,81.44,66.45,18.28,0.59
AKSUE,42.6,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 37.27 (%12.5 altta) | EMA5 Direnç: 42.68 (%0.2 üstte),10.00-11.73 (%72.5 altta),-,101.44,63.11,27.83,0.74
AKYHO,2.24,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🚨Fiyat Bandın Altında!,-1.38,EMA5 Direnç: 2.36 (%5.3 üstte),1.54-1.70 (%24.1 altta),-,-27.0,32.23,9.8,-0.93
ALARK,101.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 100.43 (%1.3 altta) | EMA5 Direnç: 102.57 (%0.8 üstte),-,-,24.4,52.8,35.09,0.56
ALBRK,8.35,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 8.24 (%1.3 altta),-,-,48.63,51.74,21.55,-0.38
ALCAR,686.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 764.93 (%11.4 üstte),219.63-256.91 (%62.6 altta),894.50-945.50 (%30.3 üstte),-11.35,40.6,34.48,0.17
ALCTL,175.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 168.48 (%3.7 altta),96.30-104.40 (%40.3 altta),-,72.42,64.96,87.62,0.85
ALFAS,42.08,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 44.08 (%4.8 üstte),35.84-37.98 (%9.7 altta),99.37-121.39 (%136.2 üstte),-,43.7,6.16,-0.62
ALGYO,3.4,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 3.18 (%6.4 altta) | EMA5 Direnç: 3.60 (%5.8 üstte),2.42-2.88 (%15.2 altta),-,6.84,38.64,1.38,-0.93
ALKA,8.23,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 7.86 (%4.5 altta) | EMA5 Direnç: 8.66 (%5.2 üstte),-,-,4.74,34.84,3.49,-0.95
ALKIM,15.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Direnç: 16.43 (%4.0 üstte),-,-,-3.85,40.09,2.45,-0.74
ALKLC,425.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 398.26 (%6.3 altta),-,-,-,67.1,75.22,0.73
ALTNY,15.91,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 15.94 (%0.2 üstte),14.21-15.69 (%1.4 altta),-,-,48.57,17.04,-0.7
ALVES,2.12,🔴 Düşüş Trendinde,🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 2.32 (%9.3 üstte),-,4.54-5.64 (%114.3 üstte),-,32.49,1.88,-0.88
ANELE,124.9,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 117.40 (%6.0 altta),-,-,417.52,74.0,21.3,0.86
ANGEN,9.1,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 9.73 (%6.9 üstte),-,13.77-16.45 (%51.3 üstte),-27.79,34.29,0.0,-0.9
ANHYT,111.9,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 108.80 (%2.8 altta),-,-,70.06,56.24,69.56,-0.04
ANSGR,28.6,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 27.83 (%2.7 altta),1.29-1.37 (%95.2 altta),-,68.86,56.12,12.1,-0.55
ARASE,110.4,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 107.56 (%2.6 altta) | EMA5 Direnç: 115.21 (%4.4 üstte),48.94-52.24 (%52.7 altta),-,83.68,56.97,0.0,0.55
ARCLK,97.9,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 98.63 (%0.8 üstte),-,170.00-193.30 (%73.6 üstte),-12.03,37.66,10.31,-0.89
ARDYZ,77.3,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 70.85 (%8.3 altta),24.49-26.55 (%65.7 altta),-,154.15,77.79,73.91,0.8
ARENA,20.24,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 23.17 (%14.5 üstte),-,-,-25.64,34.38,0.0,-0.88
ARFYE,29.66,🟢 Yükseliş Trendinde,⏳ BEKLE,🩸 SAT (Zirveden Dönüş),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 29.57 (%0.3 altta) | EMA5 Direnç: 30.08 (%1.4 üstte),-,-,-,47.34,50.68,0.12
ARMGD,195.7,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 190.24 (%2.8 altta),-,-,-,69.59,44.69,0.91
ARSAN,3.32,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 2.97 (%10.5 altta) | EMA55 Direnç: 3.32 (%0.1 üstte),0.63-0.66 (%80.0 altta),3.42-3.99 (%3.0 üstte),48.78,46.7,41.16,-0.38
ARTMS,38.2,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,-,-,🚨Fiyat Bandın Altında!,-2.68,EMA100 Direnç: 39.99 (%4.7 üstte),-,-,-,42.56,24.65,-0.55
ARZUM,1.59,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 1.77 (%11.2 üstte),1.59-1.70 (fiyat bandın içinde!),5.10-5.72 (%220.8 üstte),-48.92,30.1,0.0,-0.98
ASELS,353.75,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 296.57 (%16.2 altta) | EMA21 Direnç: 360.05 (%1.8 üstte),-,-,130.19,50.73,8.09,-0.75
ASGYO,11.07,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 11.42 (%3.2 üstte),10.02-10.54 (%4.8 altta),-,-,44.45,4.47,-0.41
ASTOR,308.5,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 302.00 (%2.1 altta),-,-,-,61.42,7.61,-0.42
ASUZU,50.45,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 52.70 (%4.5 üstte),49.14-52.81 (fiyat bandın içinde!),-,-10.07,34.9,0.0,-0.92
ATAGY,10.59,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🚨Fiyat Bandın Altında!,-0.46,EMA200 Destek: 9.85 (%7.0 altta) | EMA5 Direnç: 11.10 (%4.8 üstte),9.50-11.38 (fiyat bandın içinde!),13.71-15.98 (%29.5 üstte),7.52,35.06,0.0,-0.92
ATAKP,48.24,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 50.84 (%5.4 üstte),36.10-40.03 (%17.0 altta),-,-,41.92,11.97,-0.66
ATATP,245.5,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 242.83 (%1.1 altta),72.71-79.58 (%67.6 altta),-,134.53,65.53,57.84,0.8
ATATR,14.65,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 14.91 (%1.8 üstte),-,-,-,48.46,,-0.68
ATEKS,106.4,🟢 Yükseliş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 105.58 (%0.8 altta) | EMA100 Direnç: 106.84 (%0.4 üstte),72.80-80.80 (%24.1 altta),173.00-196.60 (%62.6 üstte),11.33,49.19,33.37,0.63
ATLAS,7.13,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 6.60 (%7.4 altta) | EMA55 Direnç: 7.27 (%1.9 üstte),0.98-1.15 (%83.8 altta),-,37.07,45.62,2.21,-0.72
ATSYH,111.0,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 109.89 (%1.0 altta),-,-,73.16,66.39,45.7,0.87
AVGYO,14.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 13.92 (%4.0 altta) | EMA5 Direnç: 14.59 (%0.6 üstte),-,-,61.86,52.69,33.83,0.51
AVHOL,39.68,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 35.92 (%9.5 altta) | EMA5 Direnç: 39.75 (%0.2 üstte),30.24-37.62 (%5.2 altta),-,10.47,48.96,6.82,-0.28
AVOD,3.83,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 3.49 (%9.0 altta) | EMA100 Direnç: 3.84 (%0.3 üstte),2.51-2.73 (%28.7 altta),-,9.86,42.02,3.46,-0.9
AVPGY,51.8,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 50.94 (%1.7 altta) | EMA5 Direnç: 53.02 (%2.4 üstte),44.96-49.00 (%5.4 altta),-,-,43.44,0.0,-0.92
AVTUR,12.74,🩸 SAT (Trend Kırıldı),🔴 SAT,-,🟢 POTANSİYEL DİP,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,🚨Fiyat Bandın Altında!,-6.22,EMA200 Destek: 11.09 (%12.9 altta) | EMA100 Direnç: 14.58 (%14.5 üstte),1.93-2.02 (%84.1 altta),-,14.84,32.83,8.44,-0.72
AYCES,453.75,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 427.43 (%5.8 altta) | EMA5 Direnç: 490.94 (%8.2 üstte),392.00-415.50 (%8.4 altta),-,6.16,40.39,0.06,-0.71
AYDEM,23.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 22.97 (%3.5 altta) | EMA55 Direnç: 24.05 (%1.0 üstte),16.99-18.00 (%24.4 altta),-,18.04,45.32,11.6,-0.46
AYEN,34.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 33.58 (%1.2 altta) | EMA5 Direnç: 34.06 (%0.2 üstte),-,-,38.2,52.71,12.58,-0.13
AYES,32.9,🔴 Düşüş Trendinde,🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 31.56 (%4.1 altta),-,-,138.58,58.64,12.9,0.0
AYGAZ,284.5,🔥 AL (Taze Kırılım),🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 265.94 (%6.5 altta),-,-,98.87,63.34,60.29,0.12
AZTEK,4.47,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 4.48 (%0.2 üstte),3.51-4.01 (%10.2 altta),-,-14.05,47.38,7.98,-0.58
BAGFS,24.32,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 24.57 (%1.0 üstte),17.60-21.64 (%11.0 altta),35.30-42.28 (%45.1 üstte),-9.79,38.41,5.11,-0.86
BAHKM,113.3,🟢 Yükseliş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 97.26 (%14.2 altta) | EMA21 Direnç: 115.55 (%2.0 üstte),-,-,-,50.37,22.95,0.21
BAKAB,44.68,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 43.11 (%3.5 altta) | EMA21 Direnç: 46.80 (%4.8 üstte),-,51.85-57.15 (%16.0 üstte),10.09,48.01,1.63,0.18
BALAT,72.0,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 71.47 (%0.7 altta) | EMA21 Direnç: 76.25 (%5.9 üstte),-,90.15-116.30 (%25.2 üstte),44.29,45.15,71.38,-0.22
BALSU,13.22,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 14.86 (%12.4 üstte),-,-,-,43.62,43.44,0.28
